,quality
21,5
815,5
826,7
377,7
1337,5
679,5
764,6
1543,6
476,5
541,6
266,4
1168,6
69,6
1465,5
664,5
1463,6
1545,6
351,6
1096,6
1167,7
1324,6
136,5
1129,6
1470,5
1203,5
1085,5
1574,6
1560,5
871,5
1186,5
1548,5
452,6
725,5
57,5
1573,6
1360,5
749,6
471,6
1554,6
1315,6
350,6
153,5
1285,5
219,5
1018,6
1564,5
1498,6
606,7
92,5
281,7
1243,5
905,5
599,6
960,6
1108,5
62,7
987,5
369,7
1023,6
844,6
1468,7
755,6
929,7
1377,6
258,5
246,5
448,6
753,5
223,6
884,6
481,8
1582,5
1077,5
1162,7
644,5
162,6
273,5
833,4
282,5
437,6
280,6
1338,5
636,5
261,4
1170,6
112,5
1136,6
552,6
1122,6
547,6
1364,6
698,5
701,6
326,7
63,5
593,5
1449,8
1127,6
479,6
483,5
15,5
37,7
1333,5
85,5
1105,5
1221,6
817,6
487,6
287,6
1434,6
1503,6
682,5
891,5
530,6
718,5
629,5
415,5
126,5
30,5
1204,7
916,5
1071,5
320,7
520,6
464,6
1375,5
1439,6
975,5
904,7
47,5
1547,5
1437,5
507,6
43,5
316,5
469,5
405,6
989,6
242,6
470,5
1590,6
390,8
1115,6
360,5
168,6
1457,5
413,7
1216,6
1055,6
498,8
1525,5
613,5
902,7
763,5
961,5
1009,5
778,5
1444,6
940,7
400,5
334,7
1491,5
468,6
903,7
1208,7
721,5
957,6
1392,5
531,5
1385,5
1485,5
1569,6
974,7
977,5
1312,5
48,5
156,5
937,4
1579,5
155,5
61,5
87,5
730,5
352,5
473,5
1254,5
900,5
332,6
649,6
58,5
24,6
1176,4
315,6
913,7
391,6
958,7
373,5
1588,6
885,5
1101,6
692,5
638,7
935,6
693,5
1027,5
848,5
1177,7
1461,4
1017,6
256,5
1342,6
98,5
556,6
1427,5
419,5
1490,6
1504,6
1153,6
1487,5
746,6
1492,5
840,7
1268,6
700,6
1369,4
424,5
562,5
602,5
934,5
84,6
650,5
491,7
241,6
540,5
1566,6
423,7
1587,6
141,5
461,5
954,6
109,5
107,5
1113,6
1069,5
794,6
38,4
771,5
709,6
1340,6
202,5
635,5
1267,6
625,5
129,5
1087,6
810,5
1234,6
514,7
559,6
821,7
135,5
160,5
1191,5
489,6
72,5
880,5
189,5
1104,6
1015,6
1000,7
939,5
480,5
1348,5
889,5
11,5
114,5
686,5
14,5
1199,6
1046,6
803,6
427,6
615,5
356,5
217,5
110,5
1423,4
542,5
1173,6
1426,6
1355,5
1472,6
1144,5
1409,6
1371,6
910,6
516,6
1479,5
1366,5
1200,6
314,5
790,6
1593,6
1148,6
773,6
1212,6
1381,5
193,5
121,6
236,6
578,5
809,6
180,5
257,5
342,6
1346,5
420,7
834,5
580,5
292,6
1419,5
324,6
1319,6
1008,7
1112,6
382,6
210,6
600,4
90,5
862,5
793,5
1583,5
330,6
1179,6
353,5
338,6
1041,6
27,5
1251,5
106,5
460,6
1459,7
429,6
1147,7
39,5
982,6
788,6
605,6
660,6
1407,6
1350,5
1035,7
869,6
551,6
1412,6
897,6
209,7
1393,5
1042,6
759,5
176,5
401,6
1061,8
297,5
25,5
906,5
855,7
818,5
1142,6
32,5
1145,6
655,5
1532,6
1390,6
791,5
738,5
1398,7
146,5
557,5
898,7
1517,6
705,5
785,5
653,6
824,5
1598,6
128,7
1149,6
444,7
325,6
1559,5
1192,7
1026,6
1038,7
1512,6
519,5
1379,6
1126,6
608,6
1387,5
1456,6
142,6
927,4
455,8
1107,7
283,7
888,6
1445,6
299,5
1279,7
808,5
867,6
346,7
1025,6
89,5
6,5
249,6
945,7
1109,6
814,6
676,6
409,4
1091,6
1540,6
230,7
1064,6
1005,7
621,5
274,5
887,7
1171,6
267,8
1135,6
1347,5
97,5
4,5
936,6
734,5
1155,5
206,7
980,6
832,3
451,6
985,6
1270,6
561,5
60,5
1184,5
548,6
1299,3
403,6
446,5
191,6
879,5
582,5
1586,6
363,5
433,5
592,5
185,5
1438,5
1361,5
291,5
1577,6
49,5
713,5
312,6
1028,6
264,5
1031,7
943,7
765,6
1488,5
1330,6
164,5
1182,6
196,5
883,5
232,6
1562,5
854,6
886,6
1040,5
178,5
997,7
1133,7
704,4
1305,5
1217,6
681,6
735,5
560,5
1476,5
1222,6
590,5
1401,5
690,3
171,6
513,7
218,5
34,5
722,5
1443,5
1140,6
485,5
404,5
285,5
849,5
1252,5
588,8
1048,6
137,5
1416,5
284,5
1306,5
1499,6
1558,5
289,5
1014,6
304,5
868,6
152,5
800,5
673,5
1541,7
1198,6
881,6
677,5
1300,6
169,5
1206,7
981,5
534,6
526,5
474,6
1378,6
1245,5
56,5
724,4
801,5
637,5
99,6
1408,7
1359,6
1229,5
288,7
847,6
1011,6
1550,5
994,5
1036,7
751,5
269,6
458,7
1475,7
922,6
1318,6
882,6
1004,5
116,6
1520,6
917,6
229,5
1501,5
133,6
1169,6
490,6
1097,5
1261,4
915,6
1205,7
406,6
1516,5
306,5
1524,6
527,6
543,6
298,5
1033,6
894,6
254,6
139,5
598,6
435,5
544,6
1304,5
1121,6
999,6
422,5
177,6
1218,6
151,4
1207,5
1317,6
1308,5
1502,5
1259,6
328,6
1384,5
770,6
918,6
54,6
23,5
462,5
1174,6
1523,5
1141,6
149,6
163,5
430,7
1473,5
970,6
66,5
805,7
1395,6
1266,6
123,5
35,6
1117,6
1083,6
1327,6
1307,4
680,5
1471,5
1195,6
968,6
349,6
354,6
1215,6
875,7
1509,5
1118,6
830,4
1507,6
100,6
694,5
654,5
115,6
224,4
509,7
1078,5
675,5
1196,6
646,5
1316,6
148,6
399,5
336,6
1351,6
