,quality
414,5
1344,5
820,5
1087,6
1204,7
1266,6
1343,6
942,7
370,5
694,5
128,7
58,5
1126,6
435,5
659,4
1528,6
869,6
1101,6
1028,6
676,6
1043,7
1384,5
850,5
1217,6
1196,6
375,7
520,6
193,5
306,5
591,6
753,5
1300,6
447,5
759,5
724,4
1243,5
347,6
888,6
27,5
882,6
413,7
1437,5
553,5
1316,6
703,4
112,5
737,6
1218,6
650,5
37,7
1296,5
1457,5
1208,7
1383,5
1239,4
178,5
1350,5
293,6
1598,6
224,4
1416,5
357,7
466,6
871,5
332,6
85,5
540,5
1140,6
389,7
213,5
1252,5
1585,6
994,5
808,5
530,6
460,6
422,5
968,6
314,5
107,5
574,6
1046,6
386,6
249,6
1399,6
943,7
809,6
1194,6
179,5
1458,5
763,5
77,6
109,5
1451,7
403,6
361,6
1111,7
855,7
1329,6
149,6
928,5
680,5
941,7
378,6
1537,6
844,6
1575,6
182,5
256,5
1128,5
1479,5
1496,5
607,6
1017,6
1074,5
810,5
23,5
1276,4
309,6
467,6
959,5
746,6
1332,6
159,6
834,5
713,5
79,4
288,7
510,5
241,6
257,5
542,5
1251,5
1195,6
629,5
1526,6
1170,6
266,4
443,7
686,5
156,5
162,6
842,6
878,6
313,5
505,7
561,5
910,6
853,6
325,6
1550,5
1532,6
1288,5
432,6
75,5
1159,5
593,5
1050,5
962,5
668,5
1407,6
881,6
931,5
886,6
595,5
1377,6
245,6
285,5
1249,6
980,6
1524,6
884,6
232,6
1215,6
1569,6
1475,7
722,5
949,7
367,5
646,5
1004,5
471,6
981,5
918,6
1076,6
312,6
849,5
222,5
1025,6
405,6
366,7
1199,6
1092,6
169,5
452,6
1203,5
950,7
772,5
512,6
437,6
625,5
1531,5
1445,6
661,5
217,5
894,6
1205,7
1390,6
119,6
315,6
515,5
1227,5
453,7
356,5
1213,6
1470,5
448,6
379,6
1142,6
1434,6
1401,5
187,5
1397,5
914,6
560,5
774,6
1466,7
29,6
1039,6
519,5
341,6
449,6
1403,8
131,5
1534,7
1291,6
1157,7
657,7
481,8
1033,6
1081,7
1400,5
308,6
805,7
1201,7
717,5
1357,6
1131,5
735,5
1130,6
1305,5
901,7
1069,5
1564,5
1578,6
1277,6
504,7
259,7
920,5
1559,5
1055,6
922,6
246,5
745,6
1411,6
1584,7
46,5
638,7
879,5
66,5
1509,5
947,7
1179,6
1188,5
610,5
1336,5
220,6
463,5
1158,6
1323,7
479,6
97,5
937,4
57,5
815,5
137,5
590,5
784,5
146,5
153,5
1535,6
94,4
1001,7
1527,6
269,6
1145,6
873,7
738,5
868,6
1286,6
476,5
576,4
898,7
976,5
120,5
935,6
1337,5
1057,5
1103,6
1428,5
912,6
1539,5
302,5
791,5
300,6
221,5
1248,6
474,6
1369,4
458,7
47,5
129,5
891,5
1051,5
141,5
1593,6
875,7
401,6
1015,6
1476,5
1378,6
1177,7
387,6
825,5
41,4
1514,6
1240,5
754,6
1474,5
823,5
1077,5
643,5
1192,7
39,5
318,7
544,6
399,5
1066,7
180,5
621,5
747,5
1023,6
623,6
988,5
695,6
281,7
1044,6
204,6
872,4
491,7
340,6
539,5
165,5
927,4
790,6
1093,7
1256,5
1067,7
99,6
454,5
768,6
1082,6
63,5
1456,6
490,6
1146,6
1308,5
1124,4
100,6
683,5
400,5
743,5
583,7
470,5
142,6
355,6
788,6
191,6
603,6
440,8
424,5
394,5
