,quality
301,6
216,5
1186,5
45,4
1366,5
796,5
115,6
595,5
119,6
1242,6
903,7
483,5
341,6
1288,5
516,6
179,5
371,6
887,7
774,6
360,5
950,7
342,6
328,6
514,7
213,5
618,5
1578,6
372,6
929,7
760,5
1582,5
1306,5
965,6
48,5
842,6
1317,6
1333,5
739,5
1128,5
521,5
1334,5
695,6
524,5
944,7
1123,6
489,6
914,6
714,5
79,4
1213,6
574,6
1565,6
426,6
85,5
313,5
142,6
305,6
457,5
486,5
339,7
275,6
1276,4
559,6
1067,7
1461,4
14,5
1047,5
135,5
1338,5
994,5
13,5
1000,7
775,5
529,5
1359,6
1261,4
724,4
1039,6
610,5
543,6
1194,6
55,5
507,6
1449,8
462,5
1300,6
153,5
794,6
837,7
517,3
700,6
1109,6
764,6
219,5
687,5
306,5
410,6
343,6
873,7
186,5
966,7
1101,6
1163,5
625,5
916,5
58,5
27,5
1527,6
781,5
178,5
585,6
995,6
125,5
129,5
815,5
1302,6
672,5
1383,5
1397,5
1367,6
100,6
1009,5
1238,4
638,7
260,5
534,6
422,5
1345,6
1171,6
1208,7
391,6
1509,5
1384,5
1586,6
402,6
183,5
1033,6
446,5
1129,6
298,5
334,7
1160,7
633,4
1549,8
971,6
556,6
1329,6
793,5
281,7
713,5
942,7
107,5
1303,5
1017,6
1573,6
1351,6
1552,6
243,7
1028,6
1125,7
1036,7
332,6
429,6
1305,5
1118,6
191,6
548,6
363,5
513,7
37,7
1298,6
1061,8
239,6
1540,6
947,7
823,5
616,5
1185,6
389,7
878,6
709,6
892,6
1451,7
605,6
1233,4
813,4
949,7
1079,7
1416,5
34,5
38,4
1027,5
626,5
1198,6
120,5
839,5
1215,6
807,7
196,5
730,5
1569,6
185,5
163,5
1324,6
1035,7
582,5
22,5
1562,5
508,6
810,5
401,6
291,5
116,6
583,7
43,5
1358,5
1077,5
540,5
1470,5
682,5
257,5
392,5
112,5
131,5
668,5
246,5
968,6
655,5
690,3
60,5
1088,7
1336,5
1456,6
716,5
531,5
727,5
1066,7
1371,6
613,5
977,5
1522,5
897,6
1588,6
1395,6
427,6
278,8
981,5
424,5
867,6
523,5
564,6
190,5
454,5
898,7
70,6
954,6
1523,5
536,5
1057,5
1362,6
1378,6
1122,6
826,7
68,5
940,7
752,5
1144,5
353,5
1002,7
1096,6
1593,6
935,6
822,5
982,6
553,5
1518,5
203,5
1410,6
1398,7
1439,6
176,5
393,5
96,5
314,5
1201,7
262,5
156,5
1001,7
1506,6
470,5
1468,7
662,6
1344,5
692,5
98,5
113,6
1048,6
1406,6
247,5
362,5
90,5
1315,6
787,6
226,6
41,4
2,5
1524,6
177,6
92,5
147,5
1515,6
1179,6
274,5
926,6
952,7
588,8
630,6
1512,6
1401,5
206,7
1532,6
1566,6
1438,5
326,7
495,8
1178,5
547,6
1113,6
905,5
1153,6
759,5
249,6
463,5
838,7
554,5
86,6
636,5
786,5
1021,6
451,6
1500,5
629,5
1349,5
459,3
590,5
598,6
854,6
374,6
1487,5
699,6
1127,6
1148,6
646,5
532,5
1212,6
1121,6
1462,6
282,5
24,6
1264,6
960,6
1471,5
1514,6
827,5
620,5
1226,5
224,4
192,5
1176,4
791,5
315,6
1013,6
802,7
1193,5
1343,6
557,5
293,6
1370,5
1330,6
1436,5
220,6
1516,5
1167,7
645,7
406,6
866,6
1270,6
833,4
526,5
875,7
608,6
872,4
89,5
948,7
770,6
1352,5
1273,5
1147,7
1511,5
653,6
242,6
357,7
637,5
673,5
1271,6
230,7
765,6
479,6
369,7
1308,5
847,6
330,6
299,5
218,5
817,6
264,5
258,5
187,5
366,7
447,5
703,4
359,6
250,6
1332,6
222,5
1444,6
1497,6
400,5
217,5
738,5
552,6
284,5
333,5
561,5
1519,5
1403,8
611,5
955,5
657,7
1097,5
414,5
641,5
771,5
356,5
1319,6
10,5
1135,6
25,5
998,6
909,6
39,5
970,6
439,5
3,6
265,7
322,5
1014,6
33,6
1204,7
1346,5
1259,6
88,5
1217,6
1037,5
1407,6
1521,4
1051,5
941,7
1278,6
1108,5
1004,5
539,5
715,6
825,5
174,5
1082,6
1350,5
1286,6
855,7
1419,5
1321,6
1411,6
644,5
1499,6
934,5
1372,5
175,5
449,6
475,5
675,5
1365,5
1290,5
1280,6
915,6
1076,6
300,6
939,5
1537,6
896,7
481,8
318,7
152,5
818,5
642,5
1583,5
640,5
54,6
509,7
1042,6
1158,6
883,5
172,6
860,5
1459,7
1236,6
288,7
1060,6
280,6
634,5
1297,6
665,5
1219,6
689,5
77,6
1142,6
1559,5
803,6
1197,6
340,6
1457,5
1095,5
438,6
501,7
922,6
1390,6
122,5
1207,5
1598,6
1426,6
1131,5
747,5
134,6
395,7
464,6
901,7
73,4
1279,7
560,5
208,5
911,6
656,5
1418,5
378,6
420,7
871,5
1340,6
987,5
602,5
1310,5
1071,5
1541,7
972,7
411,5
1089,7
285,5
1364,6
1078,5
1543,6
320,7
1284,5
1156,7
880,5
1373,5
800,5
1567,5
76,5
498,8
376,6
676,6
623,6
1159,5
1369,4
773,6
569,6
1018,6
355,6
1252,5
853,6
235,6
1415,5
1103,6
624,5
953,7
1494,7
1299,3
975,5
476,5
757,5
936,6
902,7
469,5
577,5
1274,6
1073,6
1441,6
432,6
510,5
168,6
686,5
480,5
938,7
1587,6
1281,6
917,6
1069,5
248,6
1590,6
269,6
338,6
1187,6
1454,6
1414,5
367,5
245,6
1585,6
1574,6
455,8
1177,7
1337,5
1074,5
460,6
1272,5
1490,6
423,7
413,7
1316,6
606,7
9,5
661,5
102,6
1221,6
1428,5
1140,6
204,6
962,5
1408,7
1354,5
635,5
619,5
1405,7
643,5
1116,6
520,6
820,5
66,5
474,6
740,6
1576,6
988,5
910,6
1443,5
139,5
778,5
105,5
767,5
255,5
1055,6
1535,6
110,5
958,7
368,5
1434,6
1422,6
980,6
1222,6
957,6
718,5
683,5
1476,5
1387,5
1266,6
1291,6
170,4
1240,5
346,7
1314,6
593,5
544,6
1145,6
1169,6
347,6
805,7
1318,6
891,5
415,5
67,5
978,7
1046,6
745,6
927,4
997,7
918,6
472,6
52,6
1136,6
920,5
578,5
304,5
1182,6
850,5
1150,7
133,6
118,6
572,5
763,5
1239,4
1090,8
1548,5
1485,5
430,7
518,6
515,5
882,6
677,5
843,5
331,6
961,5
1083,6
201,5
28,5
