,quality
1356,5
77,6
353,5
802,7
562,5
792,6
86,6
623,6
1318,6
89,5
857,7
184,6
807,7
1486,5
934,5
1199,6
947,7
59,6
738,5
139,5
611,5
605,6
1465,5
128,7
61,5
334,7
586,7
22,5
701,6
881,6
1122,6
1189,4
880,5
98,5
822,5
14,5
10,5
989,6
1174,6
653,6
1402,6
472,6
1029,7
1117,6
401,6
209,7
954,6
1217,6
66,5
84,6
330,6
103,5
640,5
407,7
1413,5
1408,7
275,6
1093,7
660,6
773,6
1168,6
254,6
1044,6
438,6
855,7
406,6
58,5
222,5
883,5
677,5
235,6
425,7
1329,6
993,5
827,5
962,5
1393,5
1360,5
116,6
1062,6
1213,6
532,5
590,5
208,5
682,5
1247,5
569,6
443,7
987,5
464,6
63,5
384,5
657,7
107,5
713,5
1522,5
1423,4
1226,5
1068,7
1463,6
1259,6
1145,6
847,6
830,4
633,4
1593,6
957,6
1556,5
1401,5
1372,5
834,5
828,8
1559,5
1476,5
829,6
1456,6
1000,7
457,5
1451,7
1409,6
467,6
942,7
211,6
800,5
1115,6
1446,5
301,6
1494,7
1500,5
1362,6
751,5
233,5
476,5
1,5
618,5
69,6
572,5
256,5
1160,7
672,5
620,5
191,6
470,5
652,5
692,5
813,4
1414,5
303,5
939,5
1400,5
169,5
11,5
1083,6
250,6
287,6
1507,6
3,6
1462,6
695,6
312,6
759,5
681,6
1578,6
998,6
966,7
570,6
1149,6
466,6
1087,6
729,6
163,5
1240,5
958,7
1148,6
1509,5
853,6
113,6
988,5
1378,6
650,5
501,7
1136,6
1453,5
1367,6
978,7
347,6
165,5
885,5
468,6
659,4
1546,5
716,5
142,6
1057,5
159,6
1011,6
304,5
193,5
764,6
508,6
1023,6
770,6
1490,6
960,6
326,7
47,5
251,6
591,6
867,6
377,7
1346,5
563,6
1089,7
924,5
1322,5
746,6
1299,3
1422,6
465,5
1306,5
1392,5
1415,5
781,5
1399,6
628,6
249,6
202,5
843,5
706,5
176,5
109,5
882,6
1443,5
1051,5
75,5
177,6
266,4
52,6
579,6
1026,6
1564,5
767,5
1468,7
158,5
1359,6
1550,5
521,5
448,6
824,5
1337,5
1466,7
1323,7
1277,6
1390,6
1268,6
1013,6
1369,4
1418,5
1015,6
596,6
927,4
1177,7
123,5
734,5
724,4
1304,5
419,5
900,5
574,6
849,5
1336,5
1541,7
740,6
888,6
1065,6
1552,6
68,5
1242,6
1344,5
189,5
1274,6
240,5
140,5
669,6
246,5
975,5
431,5
1088,7
99,6
1170,6
49,5
619,5
413,7
1403,8
1129,6
264,5
110,5
297,5
1157,7
875,7
314,5
1345,6
27,5
673,5
1595,6
4,5
328,6
442,7
1364,6
331,6
944,7
106,5
1549,8
355,6
1298,6
903,7
1163,5
1474,5
1512,6
13,5
937,4
506,7
1159,5
1484,4
1112,6
886,6
19,6
647,4
748,6
790,6
274,5
1460,6
424,5
898,7
1193,5
136,5
1173,6
603,6
1037,5
826,7
871,5
1487,5
817,6
1395,6
1130,6
1295,5
1144,5
206,7
73,4
296,5
1583,5
1028,6
561,5
1520,6
351,6
1358,5
1479,5
1118,6
543,6
795,5
121,6
938,7
823,5
788,6
1201,7
1227,5
427,6
391,6
1127,6
1515,6
862,5
67,5
531,5
48,5
269,6
300,6
928,5
1252,5
1454,6
709,6
1179,6
747,5
714,5
698,5
1218,6
519,5
1497,6
56,5
864,5
1221,6
102,6
869,6
174,5
1338,5
1079,7
517,3
182,5
1082,6
905,5
595,5
908,6
1055,6
162,6
1090,8
902,7
213,5
1078,5
753,5
1041,6
916,5
224,4
1523,5
1048,6
981,5
1516,5
874,7
1590,6
175,5
730,5
1147,7
156,5
1352,5
284,5
1534,7
185,5
1128,5
37,7
976,5
786,5
277,6
1435,6
1587,6
804,6
1383,5
1405,7
809,6
527,6
846,5
1104,6
32,5
172,6
808,5
46,5
118,6
524,5
772,5
1491,5
119,6
386,6
1429,5
318,7
452,6
1146,6
879,5
5,5
1123,6
526,5
146,5
1091,6
1539,5
654,5
259,7
646,5
30,5
309,6
6,5
1573,6
1192,7
257,5
1314,6
1469,3
1387,5
909,6
87,5
1588,6
791,5
454,5
1501,5
1585,6
1288,5
85,5
913,7
936,6
906,5
24,6
1162,7
1019,5
1063,6
1437,5
268,6
1239,4
1533,5
1111,7
801,5
1131,5
389,7
394,5
1547,5
616,5
676,6
1325,6
892,6
229,5
665,5
460,6
844,6
462,5
785,5
1459,7
743,5
134,6
372,6
92,5
471,6
366,7
1272,5
374,6
796,5
393,5
602,5
112,5
1016,7
1108,5
1096,6
953,7
469,5
38,4
76,5
1279,7
332,6
144,6
551,6
995,6
518,6
1565,6
283,7
737,6
530,6
232,6
1205,7
1204,7
267,8
1109,6
272,5
490,6
972,7
638,7
1447,5
1031,7
137,5
897,6
1438,5
9,5
1296,5
1150,7
183,5
1033,6
1427,5
1504,6
